ID,Group,Phase,Response,Time,Angle,Base Angle,Angle Diff
AdMe,Group Long,A,01, 208859, 34,49,-15
AdMe,Group Long,A,01, 209160, 33,49,-16
AdMe,Group Long,A,01, 210043, 37,49,-12
AdMe,Group Long,A,01, 210343, 40,49,-9
AdMe,Group Long,A,01, 211193, 38,49,-11
AdMe,Group Long,A,01, 211509, 28,49,-21
AdMe,Group Long,A,01, 212376, 32,49,-17
AdMe,Group Long,A,01, 212693, 30,49,-19
AdMe,Group Long,A,01, 213543, 39,49,-10
AdMe,Group Long,A,01, 213843, 34,49,-15
AdMe,Group Long,A,01, 214710, 32,49,-17
AdMe,Group Long,A,01, 215026, 36,49,-13
AdMe,Group Long,A,01, 215893, 34,49,-15
AdMe,Group Long,A,01, 216211, 37,49,-12
AdMe,Group Long,A,01, 217059, 40,49,-9
AdMe,Group Long,A,01, 217393, 40,49,-9
AdMe,Group Long,A,01, 218209, 35,49,-14
AdMe,Group Long,A,01, 218526, 35,49,-14
AdMe,Group Long,A,01, 219377, 35,49,-14
AdMe,Group Long,A,01, 219677, 34,49,-15
AdMe,Group Long,A,01, 220493, 36,49,-13
AdMe,Group Long,A,01, 220827, 37,49,-12
AdMe,Group Long,A,01, 221677, 38,49,-11
AdMe,Group Long,A,01, 221977, 39,49,-10
AdMe,Group Long,A,01, 222844, 34,49,-15
AdMe,Group Long,A,01, 223144, 44,49,-5
AdMe,Group Long,A,01, 224027, 37,49,-12
AdMe,Group Long,A,01, 224327, 42,49,-7
AdMe,Group Long,A,01, 225160, 38,49,-11
AdMe,Group Long,A,01, 225460, 39,49,-10
AdMe,Group Long,A,01, 226294, 36,49,-13
AdMe,Group Long,A,01, 226611, 37,49,-12
AdMe,Group Long,A,01, 227377, 35,49,-14
AdMe,Group Long,A,01, 227711, 33,49,-16
AdMe,Group Long,A,01, 228544, 40,49,-9
AdMe,Group Long,A,01, 228861, 39,49,-10
AdMe,Group Long,A,01, 229744, 31,49,-18
AdMe,Group Long,A,01, 230061, 38,49,-11
AdMe,Group Long,A,01, 230927, 34,49,-15
AdMe,Group Long,A,01, 231227, 35,49,-14
AdMe,Group Long,A,01, 232044, 33,49,-16
AdMe,Group Long,A,01, 232344, 37,49,-12
AdMe,Group Long,A,01, 233211, 35,49,-14
AdMe,Group Long,A,01, 233527, 30,49,-19
AdMe,Group Long,A,01, 234394, 32,49,-17
AdMe,Group Long,A,01, 234694, 35,49,-14
AdMe,Group Long,A,01, 235511, 35,49,-14
AdMe,Group Long,A,01, 235811, 38,49,-11
AdMe,Group Long,A,01, 236678, 37,49,-12
AdMe,Group Long,A,01, 236978, 36,49,-13
AdMe,Group Long,A,01, 237894, 38,49,-11
AdMe,Group Long,A,01, 238196, 40,49,-9
AdMe,Group Long,A,01, 239078, 38,49,-11
AdMe,Group Long,A,01, 239394, 39,49,-10
AdMe,Group Long,A,01, 240311, 38,49,-11
AdMe,Group Long,A,01, 240611, 37,49,-12
AdMe,Group Long,A,01, 241495, 37,49,-12
AdMe,Group Long,A,01, 241811, 36,49,-13
AdMe,Group Long,A,01, 242761, 38,49,-11
AdMe,Group Long,A,01, 243078, 42,49,-7
AdMe,Group Long,A,01, 243995, 37,49,-12
AdMe,Group Long,A,01, 244295, 42,49,-7
AdMe,Group Long,A,01, 245178, 38,49,-11
AdMe,Group Long,A,01, 245478, 43,49,-6
AdMe,Group Long,A,01, 246395, 51,49,2
AdMe,Group Long,A,01, 246678, 49,49,0
AdMe,Group Long,A,01, 247645, 41,49,-8
AdMe,Group Long,A,01, 247945, 41,49,-8
AdMe,Group Long,A,01, 248911, 40,49,-9
AdMe,Group Long,A,01, 249211, 40,49,-9
AdMe,Group Long,A,01, 250095, 46,49,-3
AdMe,Group Long,A,01, 250395, 45,49,-4
AdMe,Group Long,A,01, 251362, 45,49,-4
AdMe,Group Long,A,01, 251679, 45,49,-4
AdMe,Group Long,A,01, 252628, 45,49,-4
AdMe,Group Long,A,01, 252929, 48,49,-1
AdMe,Group Long,A,01, 253879, 42,49,-7
AdMe,Group Long,A,01, 254195, 45,49,-4
AdMe,Group Long,A,01, 255162, 47,49,-2
AdMe,Group Long,A,01, 255462, 47,49,-2
AdMe,Group Long,A,01, 256379, 41,49,-8
AdMe,Group Long,A,01, 256696, 44,49,-5
AdMe,Group Long,A,01, 257679, 41,49,-8
AdMe,Group Long,A,01, 257996, 42,49,-7
AdMe,Group Long,A,01, 258862, 42,49,-7
AdMe,Group Long,A,01, 259179, 42,49,-7
AdMe,Group Long,A,01, 260129, 43,49,-6
AdMe,Group Long,A,01, 260446, 43,49,-6
AdMe,Group Long,A,01, 261329, 40,49,-9
AdMe,Group Long,A,01, 261646, 41,49,-8
AdMe,Group Long,A,01, 262513, 42,49,-7
AdMe,Group Long,A,01, 262829, 41,49,-8
AdMe,Group Long,A,01, 263746, 42,49,-7
AdMe,Group Long,A,01, 264046, 40,49,-9
AdMe,Group Long,A,01, 264913, 37,49,-12
AdMe,Group Long,A,01, 265196, 39,49,-10
AdMe,Group Long,A,01, 266146, 43,49,-6
AdMe,Group Long,A,01, 266463, 38,49,-11
AdMe,Group Long,A,01, 267346, 42,49,-7
AdMe,Group Long,A,01, 267663, 36,49,-13
AdMe,Group Long,B,02, 268546, 41,49,-8
AdMe,Group Long,B,02, 268846, 39,49,-10
AdMe,Group Long,B,02, 269946, 73,49,24
